Species	Min	Max	Median	Mean	StDev	Assembly_count	GC_Min	GC_Max	GC_Median	GC_Mean	GC_Stdev	GC_count	CDS_Min	CDS_Max	CDS_Median	CDS_Mean	CDS_Stdev	CDS_count	Consensus_TAXID
Amycolatopsis echigonensis	9.66393	9.66393	9.66393	9.66393	0	1	69.5	69.5	69.5	69.5	0	1	9402.0	9402.0	9402.0	9402.0	0	1	369930
Arcobacter sp. AHV-9/2010	1.84309	1.84309	1.84309	1.84309	0	1	28.1	28.1	28.1	28.1	0	1	1913.0	1913.0	1913.0	1913.0	0	1	2044506
Bacteroidota Order II. Bacterium	2.10958	4.28357	2.988925	3.0524240000000002	0.5755099077668236	10	46.6	49.3	49.3	49.01	0.8478076301719488	10	2083.0	3529.0	2599.0	2704.9	406.00340721066203	10	2735564
Candidatus Iainarchaeum sp.	0.274344	2.24701	0.898628	0.9160074536082474	0.3011654779520105	97	24.5	58.9	41.2	41.69381443298969	7.803442275060807	97	637.0	1643.0	1102.0	1079.6296296296296	246.66005147229063	54	2026736
Candidatus Izemoplasma sp.	0.409956	1.74854	1.1324	1.1319151379310344	0.3204122342934315	29	29.1	52.0	40.0	40.789655172413795	7.518279857766964	29	406.0	1549.0	1219.0	1072.857142857143	439.961145470608	7	2315156
Candidatus Kurthia intestinigallinarum	2.21213	3.90136	2.86669	2.988777142857143	0.6569502379357279	7	38.8	39.6	39.0	39.128571428571426	0.3147183169877786	7	3011.0	3011.0	3011.0	3011.0	0	1	2838630
Candidatus Pelagibacter sp.	0.205941	1.1561	0.772472	0.7530964918032786	0.24955793038301566	61	27.5	32.2	29.9	29.83606557377049	0.8215904873851381	61	217.0	1242.0	816.5	781.4791666666666	263.69243767009544	48	2780116
Guptibacillus hwajinpoensis	4.10855	4.10855	4.10855	4.10855	0	1	39.8	39.8	39.8	39.8	0	1	-	-	-	-	-	0	582442
Nitrosarchaeum sp.	0.958533	1.67466	1.35957	1.3329586	0.25485460939484694	5	29.7	33.3	33.1	32.44	1.5355780670483674	5	-	-	-	-	-	0	2852089
Polyangium sp.	2.58122	12.3234	9.29006	8.402246	3.674263771897712	5	57.1	68.7	63.55	63.225	6.344223094017634	4	7610.0	10338.0	8940.0	8962.666666666666	1364.1412439089045	3	57
Pseudoalteromonas holothuriae	5.19341	5.19341	5.19341	5.19341	0	1	40.5	40.5	40.5	40.5	0	1	4207.0	4207.0	4207.0	4207.0	0	1	2963715
Streptomyces hygroscopicus	9.88865	9.88865	9.88865	9.88865	0	1	72.0	72.0	72.0	72.0	0	1	8204.0	8204.0	8204.0	8204.0	0	1	1559982
Xanthomonas hortorum	5.03449	5.67854	5.1741	5.225404827586207	0.15316668386855745	29	63.2477	63.8	63.7	63.63133103448276	0.1335446316604317	29	4338.0	4985.0	4539.0	4580.620689655172	163.3231708242245	29	707209
[Phormidium] sp. LEGE 05292	7.49897	7.49897	7.49897	7.49897	0	1	40.3	40.3	40.3	40.3	0	1	6529.0	6529.0	6529.0	6529.0	0	1	2777964
